MgmtAreaShort,ReefName,ReefID,Provider,Longitude,Latitude,MCDA Ranking,RankForAction,Zone
Northern,Hastings Reef (16-057),16-057,INLOC,146.008,-16.518,26,Rank 3,Marine National Park
Northern,Michaelmas Reef (16-060),16-060,INLOC,146.019,-16.582,32,Rank 1,Marine National Park
Northern,Arlington Reef (16-064),16-064,INLOC,146.055,-16.695,30,Rank 3,Conservation Park|Habitat Protection
Northern,Milln Reef (16-067),16-067,INLOC,146.265,-16.778,28,Rank 3,Marine National Park|Habitat Protection|General Use
Northern,Thetford Reef (16-068),16-068,INLOC,146.181,-16.803,29,Rank 3,Conservation Park
Northern,Moore Reef (16-071),16-071,INLOC,146.213,-16.874,37,Rank 3,Marine National Park|Habitat Protection
Northern,Briggs Reef (16-074),16-074,INLOC,146.207,-16.938,20,Rank 1,Marine National Park
Northern,Normanby-Mabel Reef (17-012),17-012,INLOC,146.077,-17.21,40,Rank 3,Marine National Park|Conservation Park
Northern,Round-Russell Reef (17-013),17-013,INLOC,146.092,-17.224,48,Rank 1,Conservation Park|Commonwealth Island (GBRMPA)
Northern,Potter Reef (No 1) (17-059a),17-059a,INLOC,146.544,-17.698,80,Rank 2,Habitat Protection
Central,Reg Ward Reef (18-017),18-017,INLOC,146.785,-18.032,13,Rank 1,Marine National Park
Central,Barnett Patches (18-019),18-019,INLOC,146.853,-18.06,44,Rank 1,Marine National Park
Central,Britomart Reef (18-024),18-024,INLOC,146.726,-18.229,40,Rank 1,General Use|Habitat Protection
Central,Trunk Reef (18-027),18-027,INLOC,146.832,-18.354,42,Rank 1,Conservation Park
Central,Kelso Reef (18-030),18-030,INLOC,146.99,-18.436,38,Rank 1,Marine National Park|General Use
Central,Little Kelso Reef (18-031),18-031,INLOC,146.993,-18.469,5,Rank 3,Marine National Park
Central,Pith Reef (18-033),18-033,INLOC,147.016,-18.209,43,Rank 3,Habitat Protection
Central,Arab Reef (18-040),18-040,INLOC,147.139,-18.415,60,Rank 2,Habitat Protection
Central,Fore And Aft Reef (18-043),18-043,INLOC,147.038,-18.505,30,Rank 2,Habitat Protection
Central,Backnumbers Reef (18-069a),18-069a,INLOC,147.148,-18.509,50,Rank 1,Habitat Protection
Central,Hopkinson Reef (18-073),18-073,INLOC,147.193,-18.551,23,Rank 1,Habitat Protection
Central,Yankee Reef (18-074),18-074,INLOC,147.499,-18.561,57,Rank 2,Marine National Park
Central,John Brewer Reef (18-075),18-075,PMG,147.053,-18.631,25,Rank 1,General Use|Conservation Park
Central,Helix Reef (18-076),18-076,PMG,147.298,-18.625,46,Rank 1,Marine National Park
Central,Grub Reef (18-077),18-077,INLOC,147.426,-18.626,48,Rank 2,Habitat Protection
Central,Lodestone Reef (18-078),18-078,PMG,147.103,-18.69,36,Rank 3,Habitat Protection
Central,Keeper Reef (18-079),18-079,PMG,147.268,-18.746,32,Rank 2,Habitat Protection
Central,Knife Reef (18-081),18-081,INLOC,147.571,-18.576,55,Rank 2,Marine National Park
Central,Fork Reef (18-083),18-083,INLOC,147.554,-18.608,11,Rank 2,Marine National Park
Central,Anzac Reefs (No 1) (18-087),18-087,INLOC,147.857,-18.694,51,Rank 2,Marine National Park
Central,Centipede Reef (18-088),18-088,INLOC,147.542,-18.722,56,Rank 2,Habitat Protection
Central,Anzac Reefs (No 3) (18-090),18-090,INLOC,147.842,-18.731,53,Rank 2,Marine National Park
Central,Lynchs Reef (18-091),18-091,INLOC,147.708,-18.77,35,Rank 1,Marine National Park
Central,Wheeler Reef (18-095),18-095,PMG,147.526,-18.798,21,Rank 1,Marine National Park
Central,Davies Reef (18-096),18-096,PMG,147.645,-18.822,22,Rank 1,Conservation Park
Central,Saville-Kent Reef (18-099),18-099,PMG,147.883,-18.859,47,Rank 2,Marine National Park
Central,(Big) Broadhurst Reef (No 1) (18-100a),18-100a,INLOC,147.742,-18.907,28,Rank 1,General Use|Habitat Protection
Central,(Big) Broadhurst Reef (No 2) (18-100b),18-100b,INLOC,147.694,-18.863,41,Rank 2,Habitat Protection
Central,Judith Wright Reef (18-101),18-101,PMG,147.951,-18.9,31,Rank 1,Marine National Park|Habitat Protection
Central,U/N Reef (18-103),18-103,PMG,147.892,-18.906,14,Rank 1,Habitat Protection
Central,Banfield Reef (North) (18-105a),18-105a,PMG,147.897,-18.925,49,Rank 1,Habitat Protection
Central,Banfield Reef (South) (18-105b),18-105b,PMG,147.909,-18.939,6,Rank 3,Habitat Protection
Central,(Little) Broadhurst Reef (18-106),18-106,INLOC,147.694,-18.956,26,Rank 3,General Use|Habitat Protection
Central,Viper Reef (18-112),18-112,PMG,148.151,-18.873,52,Rank 3,Habitat Protection
Central,Jupiter Reef (18-115),18-115,PMG,148.253,-18.924,3,Rank 2,Habitat Protection
Central,Shrimp Reef (18-118),18-118,PMG,148.053,-18.969,58,Rank 3,Habitat Protection|General Use
Central,Bowden Reef (19-019),19-019,PMG,147.928,-19.033,54,Rank 1,Habitat Protection|General Use
Central,Prawn Reef (19-024),19-024,PMG,148.097,-19.021,1,Rank 2,Habitat Protection
Central,Castor Reef (19-025),19-025,PMG,148.341,-19.015,2,Rank 2,Habitat Protection
Central,Shell Reef (19-028),19-028,PMG,148.182,-19.059,7,Rank 2,Habitat Protection
Central,U/N Reef (19-039),19-039,PMG,148.189,-19.122,12,Rank 2,Habitat Protection
Central,U/N Reef (19-040),19-040,PMG,148.18,-19.132,9,Rank 2,Habitat Protection
Central,Darley Reef (19-043),19-043,PMG,148.183,-19.197,33,Rank 1,Habitat Protection
Central,Faith Reef (19-044),19-044,PMG,148.35,-19.279,16,Rank 3,Habitat Protection|General Use
Central,Tiger Reef (19-054),19-054,PMG,148.549,-19.201,8,Rank 2,Marine National Park
Central,Elizabeth Reef (19-082),19-082,PMG,149.043,-19.326,59,Rank 2,Habitat Protection
Central,Block Reef (19-127),19-127,PMG,149.373,-19.699,24,Rank 1,Habitat Protection
Central,U/N Reef (19-131a),19-131a,PMG,149.368,-19.761,20,Rank 2,Habitat Protection
Central,Circular Quay Reef (19-134),19-134,PMG,149.486,-19.744,39,Rank 1,Habitat Protection
Central,Hardy Reef (19-135),19-135,PMG,149.233,-19.76,27,Rank 1,Marine National Park
Central,Hook Reef (19-136a),19-136a,PMG,149.185,-19.792,34,Rank 3,Conservation Park|Marine National Park
Central,Bait Reef (19-137),19-137,PMG,149.074,-19.807,29,Rank 2,Marine National Park
Central,U/N Reef (19-138),19-138,PMG,149.425,-19.801,19,Rank 2,Habitat Protection
Central,Hayman Island Reef (20-014),20-014,PMG,148.891,-20.061,45,Rank 3,Marine National Park|Conservation Park|Habitat Protection
Central,Black Island Reef (20-017),20-017,PMG,148.893,-20.081,37,Rank 3,Marine National Park|Conservation Park
Central,Langford-Bird Reef (20-019),20-019,PMG,148.878,-20.088,4,Rank 3,Marine National Park|Conservation Park
Central,Hook Island Reef (No 6) (20-028f),20-028f,PMG,148.908,-20.077,10,Rank 2,Marine National Park|Conservation Park
Central,Hook Island Reef (No 7) (20-028g),20-028g,PMG,148.925,-20.073,15,Rank 3,Marine National Park
Central,Hook Island Reef (No 9) (20-028h),20-028h,PMG,148.958,-20.063,18,Rank 3,Marine National Park|Habitat Protection
Central,Hook Island Reef (No 8) (20-028j),20-028j,PMG,148.939,-20.067,17,Rank 3,Marine National Park
Southern,Tern Reef (20-309),20-309,BPM,150.033,-20.909,13,Rank 2,Marine National Park
Southern,Bushy-Redbill Reef (20-310),20-310,BPM,150.08,-20.962,22,Rank 2,Marine National Park
Southern,U/N Reef (21-057),21-057,BPM,150.481,-21.123,46,Rank 1,Habitat Protection
Southern,U/N Reef (21-181),21-181,BPM,151.858,-21.371,50,Rank 2,Habitat Protection
Southern,U/N Reef (21-186),21-186,BPM,151.793,-21.411,3,Rank 2,Habitat Protection
Southern,U/N Reef (21-187),21-187,BPM,151.648,-21.419,1,Rank 2,Habitat Protection
Southern,U/N Reef (21-188),21-188,BPM,151.586,-21.444,2,Rank 2,Habitat Protection
Southern,U/N Reef (21-438),21-438,BPM,151.812,-21.516,47,Rank 2,Habitat Protection
Southern,U/N Reef (21-441),21-441,BPM,151.775,-21.527,48,Rank 2,Habitat Protection
Southern,U/N Reef (21-454),21-454,BPM,151.968,-21.766,9,Rank 2,Habitat Protection|General Use
Southern,U/N Reef (21-460),21-460,BPM,151.742,-21.711,33,Rank 2,Habitat Protection
Southern,U/N Reef (21-464),21-464,BPM,151.774,-21.756,28,Rank 2,Habitat Protection
Southern,U/N Reef (21-465),21-465,BPM,151.882,-21.804,27,Rank 1,Habitat Protection|General Use
Southern,U/N Reef (21-466),21-466,BPM,151.987,-21.838,35,Rank 2,Habitat Protection|General Use
Southern,U/N Reef (21-467),21-467,BPM,151.926,-21.887,44,Rank 2,Habitat Protection|General Use
Southern,Snake Reef (21-088a),21-088a,BPM,152.16,-22.03,10,Rank 1,Marine National Park
Southern,U/N Reef (21-499),21-499,BPM,152.452,-21.664,5,Rank 1,Marine National Park
Southern,U/N Reef (21-500),21-500,BPM,152.394,-21.674,49,Rank 2,Habitat Protection
Southern,Recreation Reef (21-501),21-501,BPM,152.441,-21.678,11,Rank 1,Marine National Park
Southern,U/N Reef (21-502),21-502,BPM,152.498,-21.675,20,Rank 2,Marine National Park
Southern,Isobel Bennett Reef (21-505),21-505,BPM,152.349,-21.707,4,Rank 3,Habitat Protection
Southern,U/N Reef (21-509),21-509,BPM,152.387,-21.728,15,Rank 3,Marine National Park
Southern,U/N Reef (21-512),21-512,BPM,152.335,-21.758,43,Rank 3,Marine National Park
Southern,Detour Reef (21-514),21-514,BPM,152.415,-21.761,8,Rank 1,Marine National Park
Southern,Small Reef (21-517),21-517,BPM,152.424,-21.776,6,Rank 3,Marine National Park
Southern,Houdini Reef (21-524),21-524,BPM,152.428,-21.823,17,Rank 2,Marine National Park
Southern,U/N Reef (21-525),21-525,BPM,152.459,-21.823,12,Rank 1,Marine National Park
Southern,U/N Reef (21-526),21-526,BPM,152.312,-21.832,18,Rank 1,Marine National Park
Southern,U/N Reef (21-532),21-532,BPM,152.354,-21.863,45,Rank 3,Marine National Park
Southern,Emperor Reef (21-538),21-538,BPM,152.444,-21.884,23,Rank 1,Habitat Protection
Southern,U/N Reef (21-539),21-539,BPM,152.271,-21.94,21,Rank 2,Marine National Park|Habitat Protection
Southern,U/N Reef (21-544),21-544,BPM,152.109,-21.922,42,Rank 3,Marine National Park
Southern,Poulson Reef (21-548),21-548,BPM,152.459,-21.936,7,Rank 3,Habitat Protection
Southern,Pike Reef (21-549),21-549,BPM,152.423,-21.948,29,Rank 3,Habitat Protection
Southern,U/N Reef (21-551),21-551,BPM,152.056,-21.961,40,Rank 1,Marine National Park|General Use
Southern,U/N Reef (21-553),21-553,BPM,152.347,-21.976,36,Rank 3,Habitat Protection
Southern,U/N Reef (21-554),21-554,BPM,152.375,-21.98,32,Rank 3,Habitat Protection
Southern,U/N Reef (21-558),21-558,BPM,152.546,-21.549,16,Rank 1,Marine National Park
Southern,U/N Reef (21-559),21-559,BPM,152.534,-21.573,14,Rank 2,Marine National Park
Southern,Wilson Island Reef (23-050),23-050,BPM,151.89,-23.291,19,Rank 1,Marine National Park|Conservation Park
Southern,Heron Reef (23-052a),23-052a,BPM,151.971,-23.446,24,Rank 2,Marine National Park|Scientific Research|Conservation Park
Southern,Sykes Reef (23-054),23-054,BPM,152.034,-23.433,30,Rank 1,Conservation Park
Southern,Lamont Reef (23-076),23-076,BPM,152.027,-23.599,26,Rank 1,Habitat Protection|General Use
Southern,Fitzroy Reef (23-077),23-077,BPM,152.147,-23.633,34,Rank 2,Habitat Protection
Southern,Llewellyn Reef (23-078),23-078,BPM,152.181,-23.695,37,Rank 2,Marine National Park
Southern,Boult Reef (23-079),23-079,BPM,152.272,-23.757,31,Rank 2,Habitat Protection
Southern,Hoskyn Islands Reef (23-080),23-080,BPM,152.287,-23.808,41,Rank 2,Marine National Park
Southern,Fairfax Islands Reef (23-081),23-081,BPM,152.361,-23.867,38,Rank 2,Marine National Park
Southern,Lady Musgrave Reef (23-082a),23-082a,BPM,152.387,-23.902,25,Rank 1,Marine National Park|Habitat Protection|General Use
Southern,Lady Elliot Island Reef (24-008),24-008,BPM,152.715,-24.113,39,Rank 3,Marine National Park|Commonwealth Island (GBRMPA)
